MTU (UTC),DateTime,Area,Sequence,Day-ahead Price (EUR/MWh),Intraday Period (UTC),Intraday Price (EUR/MWh)
30/12/2022 23:00:00 - 31/12/2022 00:00:00,31/12/2022 00:00:00,BZN|EE,Without Sequence,0.05,,
31/12/2022 00:00:00 - 31/12/2022 01:00:00,31/12/2022 01:00:00,BZN|EE,Without Sequence,0.09,,
31/12/2022 01:00:00 - 31/12/2022 02:00:00,31/12/2022 02:00:00,BZN|EE,Without Sequence,-0.04,,
31/12/2022 02:00:00 - 31/12/2022 03:00:00,31/12/2022 03:00:00,BZN|EE,Without Sequence,-0.01,,
31/12/2022 03:00:00 - 31/12/2022 04:00:00,31/12/2022 04:00:00,BZN|EE,Without Sequence,0.05,,
31/12/2022 04:00:00 - 31/12/2022 05:00:00,31/12/2022 05:00:00,BZN|EE,Without Sequence,0.12,,
31/12/2022 05:00:00 - 31/12/2022 06:00:00,31/12/2022 06:00:00,BZN|EE,Without Sequence,0,,
31/12/2022 06:00:00 - 31/12/2022 07:00:00,31/12/2022 07:00:00,BZN|EE,Without Sequence,4.06,,
31/12/2022 07:00:00 - 31/12/2022 08:00:00,31/12/2022 08:00:00,BZN|EE,Without Sequence,4.08,,
31/12/2022 08:00:00 - 31/12/2022 09:00:00,31/12/2022 09:00:00,BZN|EE,Without Sequence,3.29,,
31/12/2022 09:00:00 - 31/12/2022 10:00:00,31/12/2022 10:00:00,BZN|EE,Without Sequence,4.06,,
31/12/2022 10:00:00 - 31/12/2022 11:00:00,31/12/2022 11:00:00,BZN|EE,Without Sequence,10.07,,
31/12/2022 11:00:00 - 31/12/2022 12:00:00,31/12/2022 12:00:00,BZN|EE,Without Sequence,10.59,,
31/12/2022 12:00:00 - 31/12/2022 13:00:00,31/12/2022 13:00:00,BZN|EE,Without Sequence,15.78,,
31/12/2022 13:00:00 - 31/12/2022 14:00:00,31/12/2022 14:00:00,BZN|EE,Without Sequence,59.29,,
31/12/2022 14:00:00 - 31/12/2022 15:00:00,31/12/2022 15:00:00,BZN|EE,Without Sequence,53.58,,
31/12/2022 15:00:00 - 31/12/2022 16:00:00,31/12/2022 16:00:00,BZN|EE,Without Sequence,25.58,,
31/12/2022 16:00:00 - 31/12/2022 17:00:00,31/12/2022 17:00:00,BZN|EE,Without Sequence,26.17,,
31/12/2022 17:00:00 - 31/12/2022 18:00:00,31/12/2022 18:00:00,BZN|EE,Without Sequence,15.08,,
31/12/2022 18:00:00 - 31/12/2022 19:00:00,31/12/2022 19:00:00,BZN|EE,Without Sequence,11.57,,
31/12/2022 19:00:00 - 31/12/2022 20:00:00,31/12/2022 20:00:00,BZN|EE,Without Sequence,14.89,,
31/12/2022 20:00:00 - 31/12/2022 21:00:00,31/12/2022 21:00:00,BZN|EE,Without Sequence,9.94,,
31/12/2022 21:00:00 - 31/12/2022 22:00:00,31/12/2022 22:00:00,BZN|EE,Without Sequence,4.84,,
31/12/2022 22:00:00 - 31/12/2022 23:00:00,31/12/2022 23:00:00,BZN|EE,Without Sequence,2.01,,
